,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,total_spent,parent,total_accepted_coupons,number_of_total_purchases
503,Post Graduate,In Relationship,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,38,1445,1,0,21
504,Post Graduate,In Relationship,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,67,46,1,0,5
505,Graduate,Single,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,70,1210,0,0,28
506,Graduate,In Relationship,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,47,945,1,0,24
507,Graduate,Single,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,34,1157,0,0,22
508,Graduate,In Relationship,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,31,137,0,0,8
509,Graduate,Single,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,64,730,1,0,25
510,Post Graduate,In Relationship,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,42,216,1,1,12
511,Graduate,Single,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,44,943,1,0,23
512,Graduate,In Relationship,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,59,347,2,1,16
513,Post Graduate,In Relationship,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,64,1924,0,1,19
514,Post Graduate,In Relationship,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,77,397,1,0,17
515,Post Graduate,Single,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,48,2089,0,0,22
516,Graduate,In Relationship,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,62,138,2,0,11
517,Graduate,Single,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,33,42,1,0,5
518,Graduate,In Relationship,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,64,777,0,0,17
519,Post Graduate,In Relationship,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,79,1902,0,2,20
520,Graduate,Single,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,58,52,2,0,7
521,Post Graduate,Single,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,36,1651,0,1,13
522,Graduate,In Relationship,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,32,358,0,0,13
523,Graduate,In Relationship,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,70,1727,0,2,16
524,Graduate,In Relationship,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,36,210,1,0,10
525,Graduate,In Relationship,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,37,42,1,0,5
526,Post Graduate,In Relationship,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,65,1291,0,0,20
527,Post Graduate,In Relationship,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,46,442,0,0,15
528,Graduate,Single,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,59,1895,0,0,17
529,Post Graduate,In Relationship,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,63,411,2,0,19
530,Under Graduate,Single,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,48,521,1,0,19
531,Graduate,Single,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,54,1168,1,0,17
532,Post Graduate,In Relationship,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,46,493,2,1,23
533,Graduate,In Relationship,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,61,260,2,0,12
534,Graduate,Single,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,41,46,1,0,7
535,Post Graduate,In Relationship,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,72,319,1,0,16
536,Graduate,In Relationship,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,56,96,1,0,7
537,Graduate,Single,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,56,1062,0,1,16
538,Under Graduate,In Relationship,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,71,232,1,0,12
539,Post Graduate,Single,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,42,76,1,0,9
540,Under Graduate,In Relationship,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,46,54,1,0,9
541,Graduate,Single,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,54,201,1,0,11
542,Post Graduate,Single,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,39,406,1,0,14
543,Post Graduate,In Relationship,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,41,1919,0,2,20
544,Graduate,In Relationship,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,47,662,1,0,20
545,Under Graduate,In Relationship,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,33,41,1,0,8
546,Graduate,Single,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,59,1600,0,0,14
547,Graduate,In Relationship,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,43,134,1,0,8
548,Graduate,In Relationship,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,55,69,2,1,10
549,Post Graduate,In Relationship,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,50,21,2,0,6
550,Under Graduate,Single,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,60,54,2,0,7
551,Graduate,Single,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,34,91,1,1,8
552,Post Graduate,Single,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,52,526,1,0,18
553,Graduate,In Relationship,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,60,162,0,0,8
554,Post Graduate,In Relationship,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,74,1008,0,0,25
555,Graduate,In Relationship,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,71,240,2,0,16
556,Post Graduate,Single,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,45,795,1,0,21
557,Graduate,In Relationship,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,41,1772,0,1,19
558,Under Graduate,In Relationship,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,53,64,0,0,8
559,Graduate,In Relationship,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,64,1957,1,4,20
560,Graduate,In Relationship,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,45,78,1,0,7
561,Graduate,Single,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,43,1572,0,0,19
562,Post Graduate,In Relationship,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,52,795,1,0,26
563,Under Graduate,In Relationship,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,53,889,1,0,26
564,Post Graduate,Single,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,60,331,1,0,15
565,Post Graduate,In Relationship,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,73,265,1,0,12
566,Graduate,Single,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,61,1065,1,0,19
567,Post Graduate,In Relationship,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,72,11,2,0,4
568,Graduate,Single,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,44,21,1,0,4
569,Graduate,In Relationship,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,53,17,2,0,4
570,Graduate,In Relationship,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,49,369,1,0,16
571,Post Graduate,In Relationship,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,55,38,2,0,6
572,Under Graduate,Single,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,45,177,1,0,11
573,Post Graduate,In Relationship,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,53,279,1,0,12
574,Post Graduate,In Relationship,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,42,62,1,0,7
575,Post Graduate,In Relationship,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,46,1230,1,3,21
576,Graduate,In Relationship,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,55,182,2,0,11
577,Graduate,In Relationship,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,53,49,2,0,10
578,Post Graduate,In Relationship,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,57,75,2,0,8
579,Post Graduate,In Relationship,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,67,227,2,0,16
580,Post Graduate,In Relationship,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,49,215,2,1,15
581,Graduate,In Relationship,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,72,444,1,0,20
582,Under Graduate,In Relationship,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,56,47,2,0,5
583,Post Graduate,In Relationship,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,72,143,0,0,7
584,Graduate,In Relationship,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,40,55,1,0,7
585,Under Graduate,In Relationship,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,52,63,2,0,11
586,Graduate,Single,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,68,1867,0,3,22
587,Post Graduate,In Relationship,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,62,611,1,0,20
588,Graduate,In Relationship,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,68,473,1,1,18
589,Graduate,In Relationship,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,64,55,0,0,6
590,Post Graduate,Single,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,39,81,1,0,7
591,Post Graduate,In Relationship,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,48,2086,0,2,21
592,Post Graduate,Single,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,58,1478,0,0,20
593,Graduate,In Relationship,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,46,49,1,0,5
594,Post Graduate,In Relationship,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,51,382,0,0,15
595,Post Graduate,In Relationship,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,48,69,1,0,9
596,Graduate,Single,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,54,67,1,0,6
597,Post Graduate,In Relationship,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,54,30,2,0,6
598,Under Graduate,In Relationship,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,45,63,1,0,9
599,Graduate,In Relationship,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,42,79,1,0,10
600,Graduate,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,62,42,1,0,5
601,Graduate,In Relationship,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,63,819,1,0,23
602,Graduate,Single,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,68,1151,0,0,17
603,Post Graduate,In Relationship,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,75,594,2,0,20
604,Post Graduate,In Relationship,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,57,129,2,0,11
605,Post Graduate,Single,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,37,213,1,0,12
606,Graduate,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,50,67,1,0,7
607,Graduate,Single,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,67,28,3,0,5
608,Under Graduate,In Relationship,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,48,45,1,0,6
609,Graduate,In Relationship,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,58,1193,0,1,18
610,Post Graduate,Single,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,54,268,0,0,12
611,Post Graduate,Single,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,79,266,0,0,12
612,Under Graduate,In Relationship,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,50,37,1,0,5
613,Graduate,In Relationship,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,56,37,3,0,7
614,Post Graduate,Single,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,54,882,0,0,25
615,Graduate,In Relationship,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,49,373,2,0,18
616,Post Graduate,Single,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,58,35,3,0,6
617,Post Graduate,In Relationship,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,47,107,2,0,1
618,Graduate,Single,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,45,42,2,0,5
619,Post Graduate,In Relationship,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,63,326,1,0,17
620,Post Graduate,In Relationship,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,62,404,1,0,17
621,Graduate,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,52,95,0,0,6
622,Graduate,Single,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,74,939,0,2,14
623,Under Graduate,Single,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,45,33,1,0,5
624,Under Graduate,In Relationship,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,68,981,0,1,21
625,Graduate,In Relationship,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,47,36,1,0,7
626,Graduate,Single,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,48,1237,1,0,20
627,Graduate,In Relationship,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,63,1825,1,0,34
628,Post Graduate,Single,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,46,103,2,0,9
629,Graduate,Single,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,46,191,1,0,12
630,Post Graduate,In Relationship,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,53,1586,1,0,25
631,Post Graduate,In Relationship,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,65,963,0,0,14
632,Under Graduate,In Relationship,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,53,889,1,0,26
633,Under Graduate,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,63,93,0,1,7
634,Graduate,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,50,1587,0,0,21
635,Graduate,Single,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,61,16,3,0,4
636,Graduate,Single,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,71,1375,0,0,32
637,Graduate,In Relationship,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,61,393,1,0,14
638,Post Graduate,Single,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,73,1477,1,0,26
639,Graduate,In Relationship,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,52,1179,1,1,18
640,Graduate,In Relationship,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,63,1005,1,0,26
641,Post Graduate,In Relationship,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,75,1348,0,0,21
642,Post Graduate,Single,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,64,1307,1,0,23
643,Graduate,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,59,486,1,1,15
644,Post Graduate,In Relationship,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,76,2252,0,2,13
645,Post Graduate,In Relationship,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,52,235,2,0,17
646,Graduate,In Relationship,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,53,1724,0,2,30
647,Post Graduate,Single,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,53,235,1,0,11
648,Post Graduate,In Relationship,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,46,1092,1,0,28
649,Graduate,In Relationship,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,65,599,1,0,17
650,Post Graduate,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,63,2008,0,1,19
651,Graduate,In Relationship,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,38,48,1,0,6
652,Graduate,In Relationship,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,49,1174,1,0,32
653,Post Graduate,In Relationship,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,73,67,1,0,7
654,Graduate,Single,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,68,365,1,0,15
655,Graduate,Single,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0
656,Graduate,In Relationship,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,70,165,1,0,10
657,Under Graduate,In Relationship,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,65,210,0,0,11
658,Post Graduate,In Relationship,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,76,1095,1,0,26
659,Post Graduate,Single,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,57,223,3,1,12
660,Graduate,In Relationship,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,60,597,1,0,22
661,Graduate,In Relationship,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,38,22,1,0,4
662,Graduate,Single,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,48,1064,1,0,24
663,Under Graduate,In Relationship,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,43,74,0,0,6
664,Post Graduate,In Relationship,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,67,26,0,0,5
665,Graduate,In Relationship,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,64,60,0,0,5
666,Post Graduate,In Relationship,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,49,20,1,0,4
667,Under Graduate,Single,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,36,59,1,0,7
668,Post Graduate,In Relationship,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,55,34,1,0,5
669,Under Graduate,In Relationship,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,52,198,2,0,12
670,Post Graduate,In Relationship,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,59,1048,1,0,28
671,Post Graduate,Single,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,61,574,2,0,21
672,Graduate,Single,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,53,1029,1,0,17
673,Graduate,In Relationship,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,43,670,1,0,20
674,Post Graduate,Single,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,48,990,1,0,16
675,Graduate,In Relationship,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,49,11,2,0,4
676,Post Graduate,In Relationship,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,60,1241,1,1,21
677,Graduate,Single,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,44,576,0,0,17
678,Under Graduate,In Relationship,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,38,172,1,1,12
679,Post Graduate,Single,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,43,664,0,0,20
680,Graduate,Single,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,60,928,1,0,23
681,Graduate,Single,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,56,2074,0,0,30
682,Under Graduate,In Relationship,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,41,467,0,0,15
683,Graduate,In Relationship,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,68,257,1,0,12
684,Graduate,In Relationship,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,56,1146,0,0,17
685,Post Graduate,Single,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,47,689,1,0,20
686,Post Graduate,Single,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,51,2114,0,0,22
687,Post Graduate,In Relationship,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,41,1717,0,0,44
688,Post Graduate,In Relationship,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,34,1346,0,2,21
689,Post Graduate,In Relationship,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,54,1044,0,0,15
690,Post Graduate,Single,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,63,493,1,1,22
691,Graduate,Single,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,53,957,0,0,13
692,Post Graduate,In Relationship,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,65,270,1,0,12
693,Under Graduate,In Relationship,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,71,29,0,0,5
694,Post Graduate,Single,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,74,121,2,0,9
695,Post Graduate,In Relationship,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,62,126,2,0,8
696,Graduate,Single,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,28,23,0,0,4
697,Post Graduate,Single,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,74,57,2,0,8
698,Graduate,Single,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,62,636,0,0,20
